id,dataset,R_Score,D1_VRAM_GB,D_Latency_Sec,D4_Energy_kWh,A1_Functional,A2_Lint,A3_Format,A4_Explainability,Score_A,Score_B,Score_C,Score_D,P_Veto,S_Global,B1_Leak,B2_Vuln,B3_License_Risk,B4_A11Y,C1_Recall,C2_Accuracy,C3_Didactic_Tone,C4_Citation_Integrity,User_CSAT
CIB-A1-093,D1_Code,94.0,5.82,3.3319,6.9e-05,0.0,95.0,100.0,85.0,70.0,100.0,0.0,93.2,1.0,63.48,,,,,,,,,
CIB-A1-094,D1_Code,93.0,5.82,7.4349,0.000155,0.0,95.0,100.0,65.0,65.0,100.0,0.0,84.7,1.0,60.46,,,,,,,,,
CIB-A1-095,D1_Code,94.0,5.82,1.7594,3.7e-05,0.0,95.0,100.0,80.0,68.8,100.0,0.0,96.4,1.0,63.53,,,,,,,,,
CIB-A1-096,D1_Code,90.0,5.82,3.129,6.5e-05,0.0,90.0,100.0,45.0,58.8,100.0,0.0,93.6,1.0,59.61,,,,,,,,,
CIB-A1-097,D1_Code,91.0,5.82,8.9425,0.000186,0.0,90.0,100.0,50.0,60.0,100.0,0.0,81.6,1.0,58.24,,,,,,,,,
CIB-A1-098,D1_Code,99.2,5.82,1.8345,3.8e-05,100.0,100.0,100.0,70.0,92.5,100.0,0.0,96.2,1.0,81.81,,,,,,,,,
CIB-A1-099,D1_Code,94.0,5.82,3.1162,6.5e-05,0.0,95.0,100.0,80.0,68.8,100.0,0.0,93.6,1.0,63.11,,,,,,,,,
CIB-A1-100,D1_Code,92.0,5.82,5.9951,0.000125,0.0,90.0,100.0,60.0,62.5,100.0,0.0,87.7,1.0,60.03,,,,,,,,,
CIB-A1-101,D1_Code,88.0,5.82,6.4583,0.000135,0.0,85.0,100.0,30.0,53.8,100.0,0.0,86.7,1.0,56.83,,,,,,,,,
CIB-A1-102,D1_Code,90.0,5.82,2.7384,5.7e-05,0.0,90.0,100.0,30.0,55.0,100.0,0.0,94.4,1.0,58.41,,,,,,,,,
CIB-A1-103,D1_Code,93.0,5.82,11.2476,0.000234,0.0,95.0,100.0,85.0,70.0,100.0,0.0,76.9,1.0,61.03,,,,,,,,,
CIB-A1-104,D1_Code,94.0,5.82,3.2186,6.7e-05,0.0,95.0,100.0,80.0,68.8,100.0,0.0,93.4,1.0,63.08,,,,,,,,,
CIB-A1-105,D1_Code,90.0,5.82,3.6015,7.5e-05,0.0,90.0,100.0,45.0,58.8,100.0,0.0,92.6,1.0,59.46,,,,,,,,,
CIB-A1-106,D1_Code,93.0,5.82,4.7872,0.0001,0.0,95.0,100.0,70.0,66.3,100.0,0.0,90.2,1.0,61.72,,,,,,,,,
CIB-A1-107,D1_Code,97.8,5.82,1.5771,3.3e-05,100.0,100.0,100.0,40.0,85.0,100.0,0.0,96.8,1.0,79.26,,,,,,,,,
CIB-A1-108,D1_Code,93.0,5.82,7.968,0.000166,0.0,95.0,100.0,70.0,66.3,100.0,0.0,83.6,1.0,60.74,,,,,,,,,
CIB-A1-109,D1_Code,92.0,5.82,4.977,0.000104,0.0,90.0,100.0,65.0,63.8,100.0,0.0,89.8,1.0,60.79,,,,,,,,,
CIB-A1-110,D1_Code,95.0,5.82,2.9385,6.1e-05,0.0,100.0,100.0,90.0,72.5,100.0,0.0,94.0,1.0,64.47,,,,,,,,,
CIB-A1-111,D1_Code,96.5,5.82,2.7319,5.7e-05,100.0,100.0,100.0,82.0,95.5,100.0,0.0,94.4,1.0,82.58,,,,,,,,,
CIB-A1-112,D1_Code,90.0,5.82,4.5264,9.4e-05,0.0,90.0,100.0,55.0,61.3,100.0,0.0,90.7,1.0,60.05,,,,,,,,,
CIB-A1-113,D1_Code,95.0,5.82,3.1915,6.6e-05,0.0,95.0,100.0,90.0,71.3,100.0,0.0,93.4,1.0,63.95,,,,,,,,,
CIB-A1-114,D1_Code,95.0,5.82,3.4446,7.2e-05,0.0,100.0,100.0,95.0,73.8,100.0,0.0,92.9,1.0,64.76,,,,,,,,,
CIB-A1-115,D1_Code,88.0,5.82,5.1876,0.000108,0.0,85.0,100.0,40.0,56.3,100.0,0.0,89.3,1.0,58.1,,,,,,,,,
CIB-A1-116,D1_Code,91.0,5.82,2.2948,4.8e-05,0.0,90.0,100.0,55.0,61.3,100.0,0.0,95.3,1.0,60.73,,,,,,,,,
CIB-A1-117,D1_Code,85.0,5.82,1.0671,2.2e-05,0.0,80.0,100.0,20.0,50.0,100.0,0.0,97.8,1.0,57.17,,,,,,,,,
CIB-A1-118,D1_Code,88.0,5.82,5.8085,0.000121,0.0,85.0,100.0,35.0,55.0,100.0,0.0,88.1,1.0,57.46,,,,,,,,,
CIB-A1-119,D1_Code,98.1,5.82,2.4749,5.2e-05,100.0,100.0,100.0,75.0,93.8,100.0,0.0,94.9,1.0,82.06,,,,,,,,,
CIB-A1-120,D1_Code,97.4,5.82,2.2366,4.7e-05,100.0,100.0,100.0,90.0,97.5,100.0,0.0,95.4,1.0,83.43,,,,,,,,,
CIB-A1-121,D1_Code,85.0,5.82,13.4072,0.000279,0.0,80.0,100.0,30.0,52.5,100.0,0.0,72.5,1.0,54.24,,,,,,,,,
CIB-A1-122,D1_Code,93.0,5.82,5.0402,0.000105,0.0,95.0,100.0,70.0,66.3,100.0,0.0,89.6,1.0,61.64,,,,,,,,,
CIB-A1-123,D1_Code,94.0,5.82,4.6681,9.7e-05,0.0,95.0,100.0,80.0,68.8,100.0,0.0,90.4,1.0,62.63,,,,,,,,,
CIB-A1-124,D1_Code,92.0,5.82,10.8324,0.000226,0.0,90.0,100.0,65.0,63.8,100.0,0.0,77.7,1.0,58.98,,,,,,,,,
CIB-A1-125,D1_Code,85.0,5.82,0.9599,2e-05,0.0,80.0,100.0,20.0,50.0,100.0,0.0,98.0,1.0,57.2,,,,,,,,,
CIB-A1-126,D1_Code,95.0,5.82,2.9845,6.2e-05,100.0,100.0,100.0,95.0,98.8,100.0,0.0,93.9,1.0,83.66,,,,,,,,,
CIB-A1-127,D1_Code,94.0,5.82,7.8554,0.000164,0.0,95.0,100.0,85.0,70.0,100.0,0.0,83.9,1.0,62.08,,,,,,,,,
CIB-A1-128,D1_Code,91.0,5.82,2.4067,5e-05,0.0,90.0,100.0,60.0,62.5,100.0,0.0,95.1,1.0,61.13,,,,,,,,,
CIB-A1-129,D1_Code,88.0,5.82,2.4636,5.1e-05,0.0,85.0,100.0,25.0,52.5,100.0,0.0,94.9,1.0,57.62,,,,,,,,,
CIB-A1-130,D1_Code,90.0,5.82,8.446,0.000176,0.0,90.0,100.0,45.0,58.8,100.0,0.0,82.6,1.0,58.97,,,,,,,,,
CIB-A1-131,D1_Code,92.0,5.82,5.4408,0.000113,0.0,90.0,100.0,65.0,63.8,100.0,0.0,88.8,1.0,61.01,,,,,,,,,
CIB-A1-132,D1_Code,96.0,5.82,1.1833,2.5e-05,100.0,100.0,100.0,95.0,98.8,100.0,0.0,97.6,1.0,84.22,,,,,,,,,
CIB-A1-133,D1_Code,85.0,5.82,3.1954,6.7e-05,0.0,80.0,100.0,20.0,50.0,100.0,0.0,93.4,1.0,56.51,,,,,,,,,
CIB-A1-134,D1_Code,90.0,5.82,3.1765,6.6e-05,0.0,90.0,100.0,45.0,58.8,100.0,0.0,93.5,1.0,60.6,,,,,,,,,
CIB-A1-135,D1_Code,92.0,5.82,7.8994,0.000165,0.0,95.0,100.0,60.0,63.8,100.0,0.0,83.8,1.0,59.89,,,,,,,,,
CIB-A1-136,D1_Code,93.0,5.82,6.6533,0.000139,0.0,95.0,100.0,85.0,70.0,100.0,0.0,86.3,1.0,62.45,,,,,,,,,
CIB-A1-137,D1_Code,94.0,5.82,3.2933,6.9e-05,0.0,95.0,100.0,85.0,70.0,100.0,0.0,93.2,1.0,63.48,,,,,,,,,
CIB-A1-138,D1_Code,91.0,5.82,4.4476,9.3e-05,0.0,90.0,100.0,55.0,61.3,100.0,0.0,90.9,1.0,60.08,,,,,,,,,
CIB-A1-139,D1_Code,91.0,5.82,4.1907,8.7e-05,0.0,90.0,100.0,55.0,61.3,100.0,0.0,91.4,1.0,60.15,,,,,,,,,
CIB-A1-140,D1_Code,96.0,5.82,2.0449,4.3e-05,100.0,100.0,100.0,95.0,98.8,100.0,0.0,95.8,1.0,83.94,,,,,,,,,
CIB-A1-141,D1_Code,92.0,5.82,10.5505,0.00022,0.0,95.0,100.0,65.0,65.0,100.0,0.0,78.3,1.0,61.49,,,,,,,,,
